,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Breed,Main Color,Days of stay
3204,0,13,2,2,1117,2,734
3205,0,13,2,3,1393,2,61
3206,9,13,2,2,1355,25,378
3207,9,13,1,1,1036,12,30
3208,0,13,2,2,1142,2,1102
3209,0,13,2,2,926,30,456
3210,0,13,2,3,122,55,2198
3211,7,13,2,2,1393,55,4384
3212,4,18,2,3,728,50,1091
3213,9,13,2,3,1249,55,562
3214,0,13,2,2,880,55,188
3215,9,13,2,3,1780,23,1005
3216,9,13,1,1,1036,37,22
3217,9,13,1,2,1036,18,171
3218,0,7,1,2,1036,49,74
3219,7,13,2,3,239,2,3063
3220,9,13,1,1,1031,18,7
3221,0,7,1,2,1036,18,206
3222,7,13,2,3,1052,16,1473
3223,9,13,1,1,1036,18,38
3224,9,13,2,0,2074,25,735
3225,9,13,1,1,1036,18,47
3226,9,13,2,1,1464,2,62
3227,7,13,2,3,1815,2,5154
3228,7,13,2,0,683,54,2922
3229,7,13,2,2,1774,45,924
3230,4,15,4,4,275,2,366
3231,9,13,1,1,1036,18,78
3232,9,13,2,2,1780,27,570
3233,0,13,1,0,1031,52,66
3234,9,13,2,0,176,50,50
3235,0,13,2,2,1923,16,1110
3236,0,13,2,3,1340,50,331
3237,9,13,2,2,1902,27,61
3238,9,13,1,4,1036,51,46
3239,7,13,2,2,1780,55,2312
3240,9,13,1,0,1036,2,19
3241,9,13,2,2,1092,2,78
3242,0,13,1,3,1036,51,83
3243,7,13,2,2,97,54,737
3244,0,13,1,2,1036,18,58
3245,0,7,2,3,198,55,70
3246,7,13,2,2,346,55,3146
3247,9,13,2,0,2067,50,559
3248,7,13,2,3,728,2,2558
3249,9,13,2,2,1884,2,1828
3250,0,13,1,2,1036,18,88
3251,4,0,2,2,1249,15,554
3252,9,13,2,1,2086,55,1644
3253,9,17,1,1,1036,2,96
3254,9,16,1,1,1036,38,154
3255,7,13,1,2,1025,18,4198
3256,0,13,2,3,176,2,365
3257,7,13,2,3,1951,55,3652
3258,9,13,1,2,1036,38,125
3259,9,13,2,0,97,2,52
3260,0,13,1,2,1036,18,66
3261,7,13,2,2,2282,55,3652
3262,9,13,2,2,1393,50,418
3263,9,16,1,2,1036,38,735
3264,9,13,2,3,587,55,372
3265,9,13,1,3,1036,18,390
3266,7,13,2,2,47,55,1827
3267,0,7,1,3,1036,7,82
3268,9,13,2,2,1780,41,746
3269,0,13,2,2,1393,25,561
3270,0,13,2,3,1142,15,171
3271,0,13,1,2,1036,38,93
3272,9,13,2,0,1061,50,3295
3273,0,7,1,3,1036,2,4365
3274,0,13,2,2,700,25,377
3275,7,13,2,2,728,2,1101
3276,9,16,1,1,1036,38,123
3277,0,13,1,2,1036,31,97
3278,9,13,2,1,495,2,2194
3279,0,7,2,3,1779,27,76
3280,9,13,1,3,1036,18,1851
3281,9,13,1,0,1031,12,22
3282,7,13,2,3,647,15,2881
3283,0,13,2,3,728,50,155
3284,9,13,4,4,1701,40,1
3285,0,13,1,2,1036,28,160
3286,0,13,2,3,122,9,382
3287,9,13,2,2,1854,15,734
3288,0,7,1,2,1036,18,68
3289,0,13,2,3,1780,2,1021
3290,0,13,2,2,1780,3,850
3291,0,13,1,3,1036,52,68
3292,0,13,1,2,1036,2,92
3293,9,13,2,3,728,50,488
3294,0,13,2,2,728,54,63
3295,4,15,4,4,276,15,731
3296,7,13,2,3,1854,23,1893
3297,7,13,2,0,176,15,253
3298,7,13,2,3,2009,2,1045
3299,9,13,2,3,728,55,390
3300,0,13,1,3,1025,31,1841
3301,9,13,1,0,1036,52,15
3302,7,13,2,3,817,30,4065
3303,9,13,1,0,1035,52,36
3304,0,13,2,3,968,2,260
3305,0,13,2,2,1780,16,1161
3306,9,13,2,1,2009,2,3658
3307,9,13,2,3,1829,27,795
3308,7,13,2,2,1393,29,2523
3309,4,0,2,2,2022,2,3034
3310,0,13,2,2,1393,56,2213
3311,9,13,2,2,728,50,243
3312,0,13,1,3,1036,52,382
3313,0,13,2,2,933,50,340
3314,4,18,2,1,817,2,735
3315,7,13,2,3,1780,50,276
3316,0,7,2,2,1393,2,983
3317,0,13,2,2,1780,55,877
3318,7,13,2,3,728,50,735
3319,0,13,1,2,1036,12,123
3320,9,13,1,0,1036,38,4756
3321,9,13,1,3,1036,21,674
3322,0,13,2,2,728,2,1102
3323,7,13,2,3,728,2,1417
3324,7,13,2,3,414,55,731
3325,7,13,2,2,714,20,251
3326,9,16,1,4,1036,12,366
3327,7,13,2,2,2269,15,732
3328,0,7,1,3,1036,18,91
3329,9,13,2,0,728,55,734
3330,0,13,1,2,1036,7,68
3331,0,13,2,0,1339,55,3010
3332,0,13,1,2,1036,18,73
3333,7,13,2,0,728,50,4385
3334,0,13,2,2,1016,55,2042
3335,7,13,2,2,353,50,730
3336,9,13,1,1,1036,38,54
3337,0,13,2,3,122,55,218
3338,0,13,2,3,414,55,68
3339,0,7,2,3,1780,7,1229
3340,0,13,2,2,341,2,70
3341,7,13,2,2,1780,55,366
3342,0,13,2,1,495,50,76
3343,9,13,1,0,1036,52,7
3344,0,7,1,2,1036,2,144
3345,0,7,2,2,443,2,578
3346,0,7,2,3,728,15,430
3347,9,16,1,2,1036,5,2193
3348,9,13,1,3,1036,21,2924
3349,7,13,2,2,1328,50,730
3350,7,13,2,2,374,2,366
3351,9,13,2,1,1393,2,297
3352,7,13,2,0,1402,2,551
3353,0,13,2,2,247,41,358
3354,7,13,2,2,1436,2,167
3355,0,13,2,3,1142,2,263
3356,9,13,2,0,1142,2,92
3357,7,13,2,1,1951,50,77
3358,0,13,2,2,647,17,277
3359,7,13,2,0,1780,7,1189
3360,9,13,2,0,1168,16,188
3361,0,13,1,2,1036,18,95
3362,0,13,2,2,1780,2,800
3363,0,13,2,3,1393,15,54
3364,9,13,2,2,728,16,373
3365,0,13,1,3,1036,51,71
3366,7,13,2,2,1780,50,4683
3367,7,13,2,2,1142,15,731
3368,2,5,1,0,1036,7,65
3369,0,13,2,0,2225,55,4390
3370,0,13,1,2,1025,18,742
3371,9,13,2,2,1393,2,1039
3372,9,13,1,4,1036,18,22
3373,0,13,1,0,1036,2,94
3374,0,13,1,2,1036,2,100
3375,0,13,4,3,1941,55,379
3376,0,13,1,3,1036,52,81
3377,9,13,1,3,1036,2,369
3378,4,18,2,1,639,41,2561
3379,0,13,2,3,1780,41,268
3380,0,13,1,3,2096,33,137
3381,7,13,2,2,1780,16,253
3382,9,13,1,0,2096,36,34
3383,0,13,2,3,1347,50,355
3384,9,13,2,1,728,15,920
3385,7,13,2,3,374,2,736
3386,7,13,2,1,1951,2,4401
3387,0,13,2,3,2297,54,553
3388,0,13,2,2,1393,2,375
3389,0,13,2,2,728,15,372
3390,0,7,1,0,1036,38,73
3391,9,13,2,4,1780,55,1
3392,0,13,1,3,1036,12,108
3393,0,13,1,3,1036,52,68
3394,9,13,2,0,587,55,735
3395,0,7,2,3,587,25,440
3396,7,13,2,3,122,55,191
3397,9,13,1,4,1036,2,5
3398,0,13,2,2,1780,3,816
3399,7,13,2,2,1652,27,207
3400,7,13,1,2,1036,2,1463
3401,0,13,2,3,122,55,736
3402,7,13,1,2,1036,2,4860
3403,0,13,2,3,527,16,379
3404,9,13,2,1,1142,45,2927
3405,7,13,2,2,1340,55,3465
3406,8,13,2,2,1541,2,249
3407,9,16,1,0,1036,21,253
3408,9,13,2,1,2009,2,747
3409,0,7,1,2,1036,18,65
3410,7,13,2,2,1003,2,1097
3411,7,13,2,2,669,55,2196
3412,4,15,4,4,1701,55,730
3413,0,13,2,3,1780,2,854
3414,9,13,1,1,1036,7,65
3415,3,13,4,4,275,15,32
3416,4,15,4,4,276,15,368
3417,4,15,4,4,275,2,365
3418,9,13,2,0,1780,16,278
3419,0,7,2,3,954,9,402
3420,7,13,2,2,278,54,3807
3421,0,13,2,3,923,55,370
3422,0,13,2,3,387,7,376
3423,4,0,2,2,1780,7,163
3424,7,13,2,1,1197,13,1832
3425,0,7,2,3,198,2,62
3426,9,16,1,1,2096,33,182
3427,0,13,2,3,1393,2,68
3428,7,13,1,3,1036,18,1339
3429,2,5,1,1,1025,38,731
3430,0,13,1,2,1036,26,80
3431,2,8,1,1,1036,2,47
3432,9,16,1,0,1036,51,252
3433,9,13,2,0,2281,55,370
3434,9,13,1,1,1036,38,12
3435,9,13,1,1,1036,2,22
3436,2,5,4,4,1700,30,365
3437,9,13,1,2,1036,18,71
3438,0,7,1,2,1036,18,62
3439,4,15,4,4,275,41,182
3440,4,15,4,4,1128,30,732
3441,7,13,2,2,1725,15,4484
3442,9,16,1,1,2096,33,243
3443,0,7,1,2,1031,7,68
3444,0,13,2,3,122,2,213
3445,0,13,2,2,2101,2,756
3446,4,18,1,0,1036,2,182
3447,4,18,1,3,1036,38,3652
3448,0,13,2,3,593,54,374
3449,0,13,2,3,728,25,2936
3450,0,13,2,2,1780,50,609
3451,0,13,1,3,1036,21,243
3452,9,13,2,3,923,50,428
3453,7,13,2,2,1736,50,734
3454,0,13,2,2,728,2,810
3455,7,13,2,2,1922,55,408
3456,7,13,2,2,2073,2,2292
3457,7,13,2,2,728,50,1252
3458,0,13,2,3,1142,25,65
3459,9,13,2,1,1393,2,16
3460,9,13,1,0,1036,7,80
3461,7,13,2,3,1780,55,2191
3462,0,13,2,3,494,50,2990
3463,0,7,2,2,1412,2,59
3464,7,13,2,2,97,25,2191
3465,0,13,1,3,1036,12,67
3466,9,13,1,1,1036,38,123
3467,0,13,2,2,440,50,736
3468,0,13,2,2,1664,30,370
3469,9,13,1,0,1036,21,7
3470,0,13,2,2,1677,50,1101
3471,0,13,4,1,1311,15,737
3472,9,13,1,0,1036,52,1
3473,9,13,1,4,1036,2,30
3474,2,9,2,1,771,55,741
3475,9,13,2,1,728,2,184
3476,0,13,1,2,2096,28,735
3477,7,13,2,2,1780,2,1532
3478,9,13,2,3,865,50,534
3479,9,13,2,0,728,15,737
3480,9,13,4,0,1941,2,367
3481,0,13,1,0,1036,18,65
3482,9,13,2,0,728,50,105
3483,9,13,2,2,1523,55,3663
3484,9,13,1,4,1036,2,3
3485,7,13,2,2,1392,20,2444
3486,0,7,1,3,1036,21,63
3487,9,13,1,1,82,18,7
3488,7,13,2,2,198,7,5199
3489,9,13,1,3,1036,52,3293
3490,0,13,2,3,1780,2,909
3491,7,13,1,2,1555,26,1463
3492,4,15,2,2,54,55,552
3493,0,7,1,3,1036,12,77
3494,0,13,2,2,382,15,3108
3495,7,13,2,1,495,15,90
3496,0,13,1,2,1036,38,67
3497,9,16,1,3,1036,18,367
3498,7,13,2,2,1725,55,3942
3499,0,13,2,2,346,55,734
3500,9,13,2,2,2023,2,427
3501,0,13,1,3,1036,21,73
3502,0,13,1,3,1025,26,393
3503,8,13,2,2,1560,55,1915
3504,9,13,2,3,495,15,189
3505,0,7,2,3,565,2,1644
3506,0,13,2,3,1393,2,1900
3507,0,13,2,3,1393,55,313
3508,9,13,1,4,1036,2,1
3509,9,13,1,1,1036,38,54
3510,4,18,2,2,728,50,2925
3511,9,13,2,1,728,50,128
3512,9,13,2,0,647,50,55
3513,0,13,2,2,728,2,372
3514,9,13,1,4,1036,21,3
3515,9,13,2,3,728,25,1104
3516,7,13,2,3,1393,2,548
3517,0,13,2,3,930,55,249
3518,9,13,2,4,1249,55,9
3519,9,13,2,2,43,55,1888
3520,7,13,2,2,1117,2,369
3521,4,15,4,4,1944,2,1096
3522,9,13,1,1,1036,18,15
3523,0,13,2,2,33,2,309
3524,4,0,2,3,1780,55,2200
3525,9,13,2,3,728,50,775
3526,9,13,2,3,880,15,1035
3527,9,13,2,2,1187,23,1506
3528,9,13,1,0,1036,2,15
3529,9,13,2,2,1016,55,4779
3530,7,13,2,3,1728,15,3788
3531,0,13,2,3,414,55,1466
3532,0,13,2,3,1249,55,1963
3533,0,13,1,1,1031,26,98
3534,0,13,2,2,1951,55,1839
3535,0,7,2,3,727,2,62
3536,0,13,1,2,1036,7,663
3537,9,13,2,0,1390,55,370
3538,0,13,2,2,1142,2,371
3539,0,13,2,3,1393,2,1280
3540,4,18,4,4,1944,30,366
3541,0,13,2,3,2262,16,98
3542,4,15,4,4,1128,30,214
3543,0,7,4,0,1941,2,106
3544,9,13,2,0,1393,15,61
3545,9,13,1,3,1036,22,1827
3546,9,13,2,1,728,54,384
3547,0,13,2,3,1393,15,394
3548,0,7,1,3,1036,18,78
3549,7,13,1,0,1036,18,740
3550,0,7,2,3,1404,55,61
3551,7,13,2,2,1142,2,1786
3552,0,13,1,3,1031,2,58
3553,9,16,1,4,1036,38,108
3554,9,13,2,0,1780,55,2015
3555,4,15,4,4,276,15,366
3556,0,13,2,2,728,15,372
3557,9,13,2,3,1404,2,101
3558,0,13,1,3,1036,51,85
3559,0,13,2,2,625,23,371
3560,0,13,2,3,1142,2,372
3561,9,13,2,3,728,55,742
3562,7,13,2,2,1436,2,138
3563,9,13,2,1,1533,55,733
3564,7,13,2,2,1780,16,1461
3565,7,13,2,0,647,15,1826
3566,7,13,2,3,864,54,4018
3567,0,13,2,3,1340,55,65
3568,9,13,2,1,1901,15,524
3569,0,13,2,3,1780,15,761
3570,0,13,1,2,1036,18,89
3571,9,13,1,4,1036,18,7
3572,9,13,2,2,1142,15,482
3573,0,13,1,3,1036,52,77
3574,9,16,1,3,1036,2,367
3575,7,13,1,2,1036,18,3652
3576,0,13,2,3,728,41,735
3577,0,13,2,2,728,54,734
3578,9,13,4,4,1293,54,31
3579,0,13,1,3,1036,52,162
3580,0,13,1,3,1036,18,87
3581,9,17,1,1,1025,38,371
3582,7,13,2,2,2073,45,735
3583,0,13,2,2,122,2,2934
3584,0,13,1,3,1036,2,95
3585,0,13,2,3,728,50,369
3586,7,13,2,2,2101,2,731
3587,9,13,1,1,1030,12,38
3588,4,15,4,4,276,15,368
3589,7,13,2,3,1393,15,2255
3590,9,13,1,1,1036,18,12
3591,0,13,2,2,196,16,810
3592,9,13,1,1,1036,38,15
3593,0,13,1,2,2095,46,521
3594,0,13,2,3,1393,2,737
3595,7,13,2,2,246,45,370
3596,4,18,0,4,1233,2,366
3597,0,13,2,3,1617,7,1829
3598,9,13,2,1,1846,50,67
3599,0,7,2,3,969,20,66
3600,9,13,1,1,1036,18,22
3601,9,17,1,4,82,2,185
3602,9,13,1,0,1030,18,31
3603,0,13,1,3,1031,51,96
3604,0,13,2,2,1142,41,1102
3605,7,13,2,1,1560,27,123
3606,9,16,1,4,1036,7,246
3607,0,13,2,2,1178,15,63
3608,0,13,2,2,414,55,307
3609,0,13,2,3,1780,2,601
3610,0,13,1,3,1025,4,63
3611,9,16,1,1,1036,4,366
3612,0,13,2,3,700,2,246
3613,9,16,1,0,1036,2,371
3614,0,7,1,2,1036,38,66
3615,7,13,2,2,1228,56,731
3616,0,13,1,2,1031,38,189
3617,7,13,2,3,1142,45,551
3618,7,13,2,2,1617,30,731
3619,9,13,1,1,1036,2,15
3620,7,13,2,2,1243,2,312
3621,9,13,1,0,1031,52,20
3622,9,13,2,2,728,55,736
3623,7,13,2,1,1780,7,641
3624,0,7,1,3,1036,21,567
3625,9,13,1,2,1036,2,1127
3626,0,13,2,2,923,15,169
3627,9,13,2,3,1780,16,791
3628,7,13,2,2,565,55,893
3629,9,13,2,0,1489,15,1562
3630,0,13,2,3,278,54,2561
3631,0,7,1,2,1036,7,122
3632,9,13,1,1,1036,38,33
3633,9,13,1,2,1036,12,1112
3634,0,7,2,3,1577,27,82
3635,4,15,4,4,276,30,366
3636,0,7,1,2,1036,2,75
3637,4,15,1,1,1036,2,368
3638,4,18,1,0,1036,2,93
3639,9,13,1,1,1031,38,51
3640,0,13,2,2,1427,2,607
3641,0,13,2,3,747,2,1484
3642,7,13,2,2,728,2,1468
3643,7,13,2,1,176,2,731
3644,0,13,2,2,176,55,371
3645,7,13,2,3,2009,2,1286
3646,0,13,1,2,1036,38,66
3647,0,7,1,3,1036,12,1143
3648,9,13,1,3,1025,7,1015
3649,0,7,2,2,1393,2,465
3650,0,13,2,3,1795,15,1100
3651,0,13,2,2,1393,2,2765
3652,9,13,2,0,1393,55,131
3653,9,13,2,1,1456,2,1076
3654,9,13,1,1,1036,55,15
3655,4,0,2,2,1780,41,783
3656,7,13,2,3,747,15,913
3657,9,13,2,0,1780,2,737
3658,0,13,1,2,1031,2,53
3659,9,13,2,1,346,55,371
3660,7,13,2,3,1780,15,371
3661,4,18,4,4,1701,40,4
3662,7,13,2,3,414,2,4307
3663,0,13,2,3,1142,54,381
3664,4,18,4,0,1948,50,731
3665,9,13,2,2,1393,50,609
3666,0,13,1,2,1036,18,3669
3667,7,13,2,2,198,54,3807
3668,0,13,2,3,1547,54,79
3669,7,13,2,3,122,9,3353
3670,7,13,2,3,278,16,3654
3671,9,13,2,2,683,55,369
3672,9,13,2,1,728,41,307
3673,0,13,2,3,122,9,63
3674,7,13,2,2,1854,55,736
3675,9,13,1,1,1036,18,18
3676,9,13,2,2,728,50,555
3677,7,13,2,2,1815,2,2922
3678,0,13,1,2,1036,55,163
3679,4,15,4,4,1943,30,731
3680,0,13,2,2,1522,55,1841
3681,4,18,4,1,1701,30,380
3682,0,13,1,2,1031,55,77
3683,0,13,2,3,1780,16,72
3684,9,13,2,2,1393,2,223
3685,0,13,2,2,353,41,80
3686,0,13,2,3,1780,7,1904
3687,0,13,2,3,2329,2,1284
3688,0,13,1,2,1036,2,305
3689,0,13,2,2,122,16,831
3690,9,13,2,2,1523,55,3661
3691,0,13,1,3,1036,52,73
3692,0,13,1,3,1036,18,72
3693,9,16,1,1,1036,55,366
3694,9,13,2,0,1780,41,119
3695,0,13,2,3,1355,15,861
3696,7,13,2,3,771,2,370
3697,4,15,4,4,1943,30,365
3698,7,13,2,2,957,41,730
3699,0,13,2,3,1393,15,78
3700,7,13,2,2,1664,54,2557
3701,9,13,1,0,1036,21,15
3702,9,13,2,2,2100,23,746
3703,0,13,2,2,647,17,371
3704,0,13,2,2,176,54,160
3705,7,13,2,2,647,9,1120
3706,0,13,2,2,647,55,93
3707,9,13,1,1,1036,38,15
3708,0,13,2,3,1780,15,381
3709,4,18,1,0,1036,2,61
3710,0,13,2,2,970,15,577
3711,0,13,1,2,1031,38,55
3712,0,13,1,2,1036,18,124
3713,0,13,2,3,1393,15,126
3714,7,13,2,4,1195,13,377
3715,0,13,2,2,2041,50,1833
3716,4,15,4,4,1944,30,183
3717,9,13,2,0,1780,7,1101
3718,0,13,2,2,1780,55,2031
3719,0,13,1,2,1036,12,96
3720,9,13,1,2,2096,46,1466
3721,0,7,1,2,1030,12,62
3722,0,13,2,2,2074,55,735
3723,9,13,2,2,1392,23,371
3724,7,13,0,0,2245,2,366
3725,0,13,2,2,1617,2,1101
3726,9,13,2,3,728,41,359
3727,0,7,1,2,1036,26,234
3728,7,13,2,2,414,2,1462
3729,0,13,2,3,728,55,2189
3730,9,16,1,1,1036,12,731
3731,4,15,4,4,275,15,183
3732,0,13,2,3,122,2,63
3733,0,13,2,3,1393,2,2929
3734,9,16,1,3,1036,18,367
3735,7,13,2,1,728,23,1462
3736,7,13,2,2,1393,15,739
3737,0,7,1,3,1036,12,88
3738,0,13,2,3,495,2,807
3739,7,13,2,1,587,2,669
3740,0,7,1,3,1036,12,88
3741,0,13,2,2,1340,55,66
3742,0,13,1,3,1036,12,121
3743,4,19,0,4,2157,30,30
3744,7,13,1,3,1036,18,738
3745,0,13,2,2,97,50,1099
3746,0,7,1,3,1036,38,72
3747,5,14,2,1,1780,57,743
3748,0,13,1,3,1036,2,3141
3749,0,13,2,3,1249,56,580
3750,0,13,2,2,1393,2,890
3751,9,13,1,0,1036,18,22
3752,4,15,4,4,2161,15,34
3753,0,13,1,2,1036,55,2610
3754,0,13,2,2,551,55,1103
3755,7,13,2,2,255,55,1826
3756,4,15,4,4,275,2,365
3757,9,13,1,0,1036,2,367
3758,7,13,2,1,1539,2,367
3759,0,13,2,3,2269,23,1832
3760,9,17,1,3,1036,52,734
3761,0,13,1,3,1036,21,62
3762,0,13,1,3,1036,21,100
3763,9,13,2,0,176,50,50
3764,4,18,2,0,494,55,2557
3765,9,17,1,4,1031,38,369
3766,0,13,2,3,353,50,293
3767,9,13,2,1,1393,15,308
3768,0,13,2,2,231,15,258
3769,7,13,2,3,122,13,217
3770,7,13,2,2,1142,2,730
3771,9,13,1,1,2096,46,31
3772,0,13,2,2,1780,2,2332
3773,0,13,2,2,414,2,131
3774,7,13,2,0,728,15,2922
3775,9,13,1,2,1036,18,394
3776,0,13,1,3,1025,52,2565
3777,0,13,2,2,1186,2,1370
3778,9,13,4,4,1941,2,0
3779,9,13,2,3,495,15,375
3780,0,13,1,3,1036,55,745
3781,9,13,1,0,1036,55,132
3782,0,13,1,3,1036,12,65
3783,4,18,1,4,1036,55,1097
3784,0,7,1,3,1036,38,364
3785,9,13,1,0,1036,51,2208
3786,0,13,2,2,728,50,94
3787,0,7,1,2,1036,55,86
3788,9,13,1,1,1036,2,81
3789,0,13,2,3,782,2,188
3790,4,18,1,2,1036,38,382
3791,0,13,2,2,647,17,378
3792,0,13,2,3,2322,7,3291
3793,0,13,2,2,1393,2,330
3794,0,13,2,2,1681,50,370
3795,4,11,4,4,1943,30,455
3796,0,13,1,0,1036,51,65
3797,7,13,2,1,1780,2,490
3798,0,13,2,3,1142,50,399
3799,9,13,2,0,2292,15,253
3800,0,13,2,2,1416,15,1122
3801,7,13,2,3,1430,23,4385
3802,0,13,2,2,70,16,553
3803,0,13,1,3,1036,2,387
3804,9,13,2,0,728,50,3652
3805,0,13,1,2,1036,55,106
3806,0,13,2,2,1780,7,594
3807,0,7,2,3,728,2,892
3808,0,13,2,3,26,25,945
3809,0,7,1,2,2096,33,73
3810,0,7,1,3,1036,2,71
3811,0,13,2,3,277,50,188
3812,9,13,2,0,2105,2,276
3813,0,13,2,2,1977,50,377
3814,0,13,2,2,176,2,310
3815,9,13,1,0,1036,52,4407
3816,0,13,2,2,2073,2,2936
3817,7,13,2,2,1208,29,2192
3818,9,13,2,1,1142,15,96
3819,0,13,2,2,122,50,2069
3820,9,13,1,1,1031,18,98
3821,0,13,2,2,2074,1,733
3822,9,13,1,0,1036,2,2
3823,9,13,2,3,1885,2,4384
3824,0,13,1,2,1036,2,94
3825,9,13,1,1,1036,12,61
3826,0,13,2,3,414,23,61
3827,9,13,1,0,1036,55,368
3828,9,13,1,1,1036,38,7
3829,9,13,2,2,414,55,2198
3830,4,15,4,4,275,15,367
3831,0,13,1,3,1036,55,106
3832,9,13,1,1,1036,28,39
3833,0,13,2,3,1832,16,76
3834,0,13,2,3,176,2,991
3835,0,13,1,2,1036,38,92
3836,4,18,1,1,1036,18,38
3837,0,13,2,2,414,2,128
3838,0,13,2,2,427,2,253
3839,9,13,2,0,1141,2,371
3840,7,13,1,2,1036,37,1827
3841,0,13,2,2,70,2,263
3842,0,13,2,2,1780,7,1140
3843,0,13,2,3,699,2,2746
3844,0,13,2,3,1393,16,65
3845,0,13,2,3,353,15,223
3846,7,13,2,3,198,15,1702
3847,0,13,1,2,1036,18,167
3848,9,13,1,0,1036,7,71
3849,7,13,2,2,728,50,1463
3850,9,13,2,2,647,55,1102
3851,9,13,2,1,1780,15,1111
3852,4,13,4,4,1701,40,9
3853,0,7,1,2,1036,18,1239
3854,9,13,4,0,1293,55,153
3855,0,7,2,2,1393,2,164
3856,9,13,1,3,1036,2,756
3857,7,13,2,1,1533,20,732
3858,0,7,2,3,122,43,56
3859,7,13,2,2,1780,15,2514
3860,9,13,2,0,1780,50,372
3861,0,7,2,3,1393,2,468
3862,0,13,1,1,1044,24,62
3863,0,13,2,2,923,16,736
3864,9,13,1,0,1036,21,372
3865,0,13,2,2,647,16,1504
3866,9,13,2,0,728,2,66
3867,0,7,1,3,1036,52,71
3868,7,13,2,1,1780,15,1734
3869,9,13,2,3,905,41,736
3870,4,15,4,4,275,15,731
3871,7,13,2,2,1780,7,1385
3872,0,7,1,2,1035,49,1029
3873,7,13,2,0,1142,15,2022
3874,9,13,1,3,1036,21,400
3875,0,13,2,3,1617,30,2927
3876,9,13,2,0,1923,15,734
3877,9,16,1,4,1036,2,366
3878,0,13,1,2,1036,38,80
3879,0,13,1,2,1036,2,95
3880,7,13,2,2,1617,54,1466
3881,9,13,1,3,1036,18,138
3882,7,13,2,1,728,54,30
3883,4,0,2,2,2175,41,1627
3884,0,7,1,3,1036,21,3057
3885,0,13,4,2,540,55,932
3886,7,13,2,2,1780,55,732
3887,9,13,4,0,1317,55,185
3888,0,13,2,3,728,15,1828
3889,9,13,1,4,1031,21,22
3890,9,13,2,0,1142,50,2197
3891,9,13,4,4,1941,30,385
3892,0,13,2,2,159,13,130
3893,9,13,2,2,923,15,1831
3894,4,15,1,3,1036,55,368
3895,7,13,2,3,771,55,743
3896,9,16,1,1,1036,38,367
3897,0,13,1,3,1036,55,110
3898,7,13,2,2,1780,50,1554
3899,0,13,1,2,1036,2,1831
3900,9,17,1,0,1036,51,96
3901,7,13,2,1,1815,7,375
3902,9,16,1,1,1036,26,244
3903,9,13,1,4,1036,55,5
3904,9,13,1,4,1036,18,22
3905,9,13,1,1,1036,7,75
3906,9,13,1,4,1036,15,4
3907,9,13,1,1,1036,7,50
3908,7,13,2,1,1780,15,731
3909,0,13,2,2,930,50,369
3910,0,13,2,3,414,2,65
3911,4,15,4,4,275,15,183
3912,0,7,1,3,1025,2,359
3913,7,13,1,0,1036,55,732
3914,7,13,1,3,1036,55,2922
3915,0,13,2,2,923,15,370
3916,0,13,1,3,1036,18,70
3917,0,7,1,2,1036,7,64
3918,0,13,1,3,1025,5,1100
3919,0,13,2,2,1780,7,743
3920,4,18,1,1,1036,7,30
3921,9,13,1,0,82,2,17
3922,9,13,1,2,1036,55,134
3923,0,13,1,2,1036,55,2506
3924,0,13,2,2,280,15,744
3925,9,16,1,2,1031,38,734
3926,0,7,2,3,796,2,58
3927,0,13,2,2,728,23,551
3928,7,13,2,1,1780,41,1437
3929,0,13,1,2,1036,18,64
3930,7,13,2,3,1393,2,518
3931,9,13,1,0,1036,18,38
3932,0,13,2,3,752,55,1117
3933,0,13,1,2,1036,2,72
3934,7,13,2,3,1393,27,2192
3935,2,5,4,4,1943,30,365
3936,0,13,2,2,647,15,2421
3937,9,16,1,4,1036,2,731
3938,4,18,4,4,1701,30,731
3939,4,11,4,4,1127,30,306
3940,9,13,1,4,1036,2,22
3941,0,13,2,2,43,2,2627
3942,0,13,2,2,1416,15,1067
3943,9,16,1,0,1031,2,185
3944,7,13,2,1,728,55,1129
3945,0,13,2,2,198,50,187
3946,9,13,1,0,1036,18,14
3947,7,13,2,2,647,17,580
3948,0,7,1,3,1036,21,84
3949,0,13,2,2,1780,41,758
3950,9,13,1,3,1031,2,2928
3951,9,13,2,2,923,2,2927
3952,9,13,2,2,1581,23,1848
3953,0,13,2,3,1838,16,791
3954,0,13,2,3,494,15,530
3955,0,13,1,2,1031,18,2942
3956,0,13,1,2,1036,18,98
3957,7,13,1,3,1036,18,534
3958,0,13,1,2,1036,2,189
3959,4,15,4,4,275,2,366
3960,0,13,1,2,1036,55,82
3961,0,13,1,2,1036,26,95
3962,0,13,2,3,107,50,366
3963,0,13,1,2,1036,38,272
3964,0,7,1,3,1036,21,144
3965,0,13,1,3,1036,2,68
3966,0,13,2,2,1208,41,733
3967,9,13,2,0,1780,3,84
3968,9,13,1,1,1036,38,22
3969,9,13,1,1,1031,37,246
3970,9,16,1,3,1036,2,739
3971,0,13,1,2,1036,38,111
3972,0,13,2,2,122,55,2196
3973,0,13,2,3,84,7,740
3974,9,13,2,0,1885,2,4387
3975,7,13,2,3,1854,2,968
3976,7,13,2,1,277,54,3290
3977,0,13,1,2,1036,38,738
3978,9,13,1,1,1031,38,74
3979,0,13,1,3,1036,18,66
